down,timedelta,up
89,-22929,66
70,-22647,82
76,-22473,67
70,-22320,78
80,-22327,67
84,-30249,66
8,-30416,73
32,-44632,70
84,-44528,65
66,-44208,189
89,-43959,74
84,-43895,82
89,-43751,87
75,-43382,84
74,-43351,86
71,-43271,84
83,-43302,89
68,-43255,32
32,-43807,67
84,-42934,32
74,-43095,219
68,-42687,90
74,-43009,74
87,-42798,188
80,-43087,32
70,-43152,68
72,-42807,32
188,-42878,86
74,-42711,80
32,-42591,66
70,-42448,74
80,-42407,72
32,-42479,84
70,-42352,85
76,-42234,32
74,-42272,66
85,-42257,32
32,-42583,74
52,-42631,68
52,-42480,78
57,-42784,67
49,-42824,84
32,-46247,186
70,-46424,69
78,-46463,86
72,-46319,32
70,-46295,84
86,-46174,83
32,-45537,89
57,-45527,89
49,-45706,84
32,-45969,75
78,-45896,68
74,-45825,90
32,-45691,74
72,-46658,72
16,-46840,71
8,-47033,32
220,-47914,66
8,-46880,32
72,-47095,90
67,-47159,66
67,-47503,89
67,-47568,70
16,-47598,68
32,-47495,74
70,-47464,76
78,-47392,89
84,-47263,70
68,-47359,86
74,-47224,74
67,-47208,82
16,-47207,32
32,-47566,81
74,-47271,66
85,-47327,89
74,-47287,70
89,-47367,76
68,-47344,70
74,-47439,80
219,-39448,84
72,-39416,8
84,-25055,32
68,-25121,84
16,-25152,66
32,-25519,89
70,-25624,84
86,-25687,89
69,-25761,75
66,-26160,74
76,-26095,71
66,-26153,83
80,-26466,68
84,-26362,32
72,-26793,84
71,-26552,74
16,-26570,68
16,-26760,74
32,-26770,87
86,-26393,80
74,-26441,70
80,-26065,72
8,-26130,188
219,-26489,74
70,-26512,32
82,-26569,70
69,-26664,80
16,-26793,32
13,-27225,70
8,-27296,76
32,-28104,74
191,-28223,85
70,-28172,32
86,-28174,52
72,-28361,52
70,-28193,57
76,-28087,49
87,-24960,32
70,-25193,70
75,-25215,78
71,-25177,72
32,-25280,70
84,-25272,86
66,-25384,32
89,-25345,57
84,-25223,49
72,-24999,32
66,-25153,78
73,-25063,74
67,-25085,32
70,-24216,16
72,-24393,72
32,-25272,8
84,-24505,8
84,-24649,220
73,-24369,72
81,-24450,16
84,-24665,67
89,-24359,67
77,-24361,67
75,-24130,32
70,-24098,70
76,-24057,78
32,-25143,84
66,-25089,68
75,-24998,74
66,-25043,67
88,-25272,16
84,-24969,32
71,-25019,74
67,-25010,85
84,-25216,74
188,-25226,89
74,-25297,68
32,-25208,74
86,-25056,219
84,-24945,72
88,-25048,84
32,-25081,68
191,-25136,16
